track_id,track_name,track_artist,preview_url
0LLrRxzcJSKrbUY6I92mL9,She's a Dancing Machine,Rosvelt,https://p.scdn.co/mp3-preview/02577c40c0024f1066eb25f1639b9f06ee4d3ba5?cid=49789426e6c04428a2befbd3c2d79b02
4PXCK3NIfGzK3HV6jHK4Jo,Dancity (feat. Athena),Marvin & Guy,https://p.scdn.co/mp3-preview/f1af679b300f599618df83bee5065c2c915dd8ac?cid=49789426e6c04428a2befbd3c2d79b02
5MrGxNN1aLaKI4DWcMhPOb,Dancing,Modern Dance Academy,https://p.scdn.co/mp3-preview/0eafd0713f1cbf5aaf2de73f916184850370918a?cid=49789426e6c04428a2befbd3c2d79b02
10uNDdvupxt232loJlPOlj,Dance,Ayoubb,https://p.scdn.co/mp3-preview/2f8d6bf68e343063cc698957b6c6155dc85de520?cid=49789426e6c04428a2befbd3c2d79b02
4EgsRPwR2iydIwmJKVV5Jf,Dangerous (Remix),Workout Remix Factory,https://p.scdn.co/mp3-preview/4d97a3b1aac521a449c0e60b06077a5ef8e45783?cid=49789426e6c04428a2befbd3c2d79b02
7FtFu4zScEXOFN70amjRcx,ATM,warner case,https://p.scdn.co/mp3-preview/06a1a481c73fd240193e7085212c220079ddfaed?cid=49789426e6c04428a2befbd3c2d79b02
2qfDb9pYLqU3wVeMZKj7AD,Danzatrice (3/4 Time Signature),Kids Ballet,https://p.scdn.co/mp3-preview/de1a030348c75c93c54ad171c171eb14a2c13e34?cid=49789426e6c04428a2befbd3c2d79b02
0pkQnpPOjF0PZ1pR4KAf7I,Dance,Veaceslav Draganov,https://p.scdn.co/mp3-preview/bf345c107d83f6d2790172632837f0d136f7e5a1?cid=49789426e6c04428a2befbd3c2d79b02
6bryUHwRtIGHoy2BJSUwiK,"Otello, Act III Scene 7: Ballabile",Giuseppe Verdi,https://p.scdn.co/mp3-preview/2304ed06ab3d0609dd9253faef3611879a8b5f5d?cid=49789426e6c04428a2befbd3c2d79b02
2lahQv9jWCO6YAqHSqiV3t,Pliés (Moderate 6/8): Le Diable a Quatre Variation,Kimbo Children's Music,https://p.scdn.co/mp3-preview/42397a1a3e8c76d7f29921f7536418d777b8f8b2?cid=49789426e6c04428a2befbd3c2d79b02
3dnuuDMrTbigtA9INGoVzS,Dance,Apisoulll,https://p.scdn.co/mp3-preview/d07c56989bf7a391d7a88481db2bea1a5e34cd56?cid=49789426e6c04428a2befbd3c2d79b02
5xNt10KizzylGlyOml4Mko,Dangerous,Big Zeeks,https://p.scdn.co/mp3-preview/ecf09077a0e1e4331e6fd52ba7073205d9ddeb68?cid=49789426e6c04428a2befbd3c2d79b02
1it3qOgJSclRcMeKLDHIgo,Breakable,Redeyes,https://p.scdn.co/mp3-preview/3fdade3ddc8ef26aa7652a25864f13ac0ee0a39b?cid=49789426e6c04428a2befbd3c2d79b02
6lI7L8jCwrh179EcElHToa,Able,Dance Kids Company,https://p.scdn.co/mp3-preview/0141ed2abd01727603b21862486e126a187094e5?cid=49789426e6c04428a2befbd3c2d79b02
4XLaBsM1KexWgUy0WteB24,Talented Dancer (2/4 Time Signature),Kids Ballet,https://p.scdn.co/mp3-preview/899da5bb993d6737d895eb35e048e351b68cdb05?cid=49789426e6c04428a2befbd3c2d79b02
3Lf0IUwWBsuyP6VJeLAKyj,Baby Dance Academy,Ballet Dancing Queen,https://p.scdn.co/mp3-preview/cc29dc495d37f97dd1507148a3a72d8e6d706ca1?cid=49789426e6c04428a2befbd3c2d79b02
7bGjOh3voSd6Tqjxzef9Fi,Dance Music for Sad People (Interlude),Resonata,https://p.scdn.co/mp3-preview/0a298f5c791904d9a86cffc5afd416b4454fcc76?cid=49789426e6c04428a2befbd3c2d79b02
5XswYlujNbxqaHlCAVwDX2,Talented Dancer (3/4 Time Signature),Kids Ballet,https://p.scdn.co/mp3-preview/4dc08a8ff7521d40d6f0e86b2757dfb857ced958?cid=49789426e6c04428a2befbd3c2d79b02
2zU1DnU6CQbmvcCBhBjrJY,Dance Performance,Ballet Dance Academy,https://p.scdn.co/mp3-preview/01570160d626c3590b52b3cecdff635c4dfe4d77?cid=49789426e6c04428a2befbd3c2d79b02
3Xx9fyIKQEGhL6uyAJAGQz,Music for Dancer,Muadeep,https://p.scdn.co/mp3-preview/6fa35e2fcd1cae63d32c78f75c9a15614328fa70?cid=49789426e6c04428a2befbd3c2d79b02
6DC6jKlgKwObsuNPCDb5SB,"Romantic Adage (Debussy, Suite bergamasque (1905) Clair de Lune 2part)",Dança Club Balé,https://p.scdn.co/mp3-preview/0c4ae9a24972ddaf9aae890e42e84700ac4c2286?cid=49789426e6c04428a2befbd3c2d79b02
